Rank 	 Country 	 Telephones - main lines in use 	 Date of Information
102 	 Estonia 	          442,000 	 2005
103 	 Panama 	          440,100 	 2005
104 	 Kyrgyzstan 	          438,200 	 2005
105 	 Cyprus 	          420,000 	 
106 	 Mauritius 	          359,000 	 2005
107 	 Gaza Strip 	          349,000 	 2005
108 	 West Bank 	          349,000 	 2005
109 	 Jamaica 	          342,000 	 2005
110 	 Zimbabwe 	          328,000 	 2005
111 	 Trinidad and Tobago 	          323,500 	 2005
112 	 Ghana 	          321,500 	 2005
113 	 Paraguay 	          320,300 	 2005
114 	 Kenya 	          281,800 	 2005
115 	 Afghanistan 	          280,000 	 2005
116 	 Senegal 	          266,600 	 2005
117 	 Oman 	          265,200 	 2005
118 	 Cote d'Ivoire 	          257,900 	 2004
119 	 Albania 	          255,000 	 2003
120 	 Tajikistan 	          245,200 	 2004
121 	 Luxembourg 	          244,500 	 2005
122 	 Nicaragua 	          220,900 	 2005
123 	 Qatar 	          205,400 	 2005
124 	 Malta 	          202,100 	 2005
125 	 Bahrain 	          196,500 	 2005
126 	 Iceland 	          193,900 	 2005
127 	 Montenegro 	          177,663 	 2005
128 	 Macau 	          174,400 	 2005
129 	 Mongolia 	          156,000 	 2005
130 	 Tanzania 	          148,400 	 2004
131 	 Haiti 	          140,000 	 2004
132 	 Bahamas, The 	          139,900 	 2004
133 	 Barbados 	          134,900 	 2005
134 	 Botswana 	          132,000 	 2005
135 	 Namibia 	          127,900 	 2004
136 	 Guyana 	          110,100 	 2005
137 	 Malawi 	          102,700 	 2005
138 	 Fiji 	          102,000 	 2003
139 	 Uganda 	          100,800 	 2005
140 	 Somalia 	          100,000 	 2005
141 	 Cameroon 	           99,400 	 2004
142 	 Burkina Faso 	           97,400 	 2005
143 	 Zambia 	           94,700 	 2005
144 	 Angola 	           94,300 	 2005
145 	 Laos 	           90,067 	 2006
146 	 Brunei 	           90,000 	 2002
147 	 Cyprus 	           86,228 	 
148 	 Guam 	           84,134 	 2001
149 	 Suriname 	           81,100 	 2004
150 	 Netherlands Antilles 	           81,000 	 2001
151 	 Benin 	           76,300 	 2005
152 	 Mali 	           75,000 	 2005
153 	 Jersey 	           73,900 	 2001
154 	 Cape Verde 	           71,400 	 2005
155 	 Virgin Islands 	           70,900 	 2004
156 	 Mozambique 	           69,700 	 2004
157 	 Madagascar 	           66,900 	 2005
158 	 Papua New Guinea 	           62,000 	 2002
159 	 Togo 	           58,600 	 2005
160 	 Bermuda 	           56,000 	 2002
161 	 New Caledonia 	           55,300 	 2005
162 	 Guernsey 	           55,100 	 2004
163 	 French Polynesia 	           53,400 	 2005
164 	 Saint Lucia 	           51,100 	 2002
165 	 Isle of Man 	           51,000 	 1999
166 	 Lesotho 	           48,000 	 2005
167 	 Gambia, The 	           44,000 	 2005
168 	 Mauritania 	           41,000 	 2005
169 	 Gabon 	           39,100 	 2005
170 	 Antigua and Barbuda 	           38,000 	 2004
171 	 Cayman Islands 	           38,000 	 2002
172 	 Eritrea 	           37,700 	 2005
173 	 Aruba 	           37,100 	 2002
174 	 Cambodia 	           36,400 	 2003
175 	 Andorra 	           35,400 	 2005
176 	 Swaziland 	           35,000 	 2005
177 	 Monaco 	           33,700 	 2002
178 	 Belize 	           33,300 	 2005
179 	 Bhutan 	           32,700 	 2005
180 	 Grenada 	           32,700 	 2004
181 	 Maldives 	           32,181 	 2006
182 	 Burundi 	           27,700 	 2004
183 	 Guinea 	           26,200 	 2003
184 	 Greenland 	           25,300 	 2002
185 	 Saint Kitts and Nevis 	           25,000 	 2004
186 	 Gibraltar 	           24,512 	 2002
187 	 Niger 	           24,000 	 2005
188 	 Sierra Leone 	           24,000 	 2002
189 	 Faroe Islands 	           23,800 	 2005
190 	 Rwanda 	           23,000 	 2004
191 	 Saint Vincent and the Grenadines 	           22,500 	 2005
192 	 Seychelles 	           21,400 	 2005
193 	 Northern Mariana Islands 	           21,000 	 2000
194 	 Dominica 	           21,000 	 2004
195 	 San Marino 	           20,600 	 2002
196 	 Liechtenstein 	           19,900 	 2002
197 	 Comoros 	           16,900 	 2005
198 	 American Samoa 	           15,000 	 2001
199 	 Congo, Republic of the 	           13,800 	 2004
200 	 Samoa 	           13,300 	 2003
201 	 Chad 	           13,000 	 2004
202 	 Micronesia, Federated States of 	           12,400 	 2005
203 	 British Virgin Islands 	           11,700 	 2002
204 	 Tonga 	           11,200 	 2002
205 	 Djibouti 	           11,100 	 2004
206 	 Congo, Democratic Republic of the 	           10,600 	 2005
207 	 Guinea-Bissau 	           10,600 	 2003
208 	 Central African Republic 	           10,000 	 2004
209 	 Mayotte 	           10,000 	 2002
210 	 Equatorial Guinea 	           10,000 	 2005
211 	 Solomon Islands 	            7,400 	 2005
212 	 Sao Tome and Principe 	            7,000 	 2004
213 	 Liberia 	            6,900 	 2002
214 	 Vanuatu 	            6,800 	 2004
215 	 Palau 	            6,700 	 2002
216 	 Anguilla 	            6,200 	 2002
217 	 Cook Islands 	            6,200 	 2002
218 	 Turks and Caicos Islands 	            5,700 	 2002
219 	 Marshall Islands 	            5,510 	 2004
220 	 Holy See (Vatican City) 	            5,120 	 2005
221 	 Saint Pierre and Miquelon 	            4,800 	 2002
222 	 Kiribati 	            4,500 	 2002
223 	 Norfolk Island 	            2,532 	 2004
224 	 Falkland Islands (Islas Malvinas) 	            2,400 	 2002
225 	 Saint Helena 	            2,200 	 2002
226 	 Nauru 	            1,900 	 2002
227 	 Wallis and Futuna 	            1,900 	 2002
228 	 Niue 	            1,100 	 2002 est.
229 	 Tuvalu 	             700 	 2002
230 	 Tokelau 	             300 	 2002
231 	 Cocos (Keeling) Islands 	             287 	 1992
232 	 Pitcairn Islands 	               1 	 2004
233 	 Antarctica 	               0 	 2001

 This file was last updated on 17 April, 2007
