Country|Population|Electricity Production (kWh)|Electricity Consumption (kWh)|Telephones Main Lines|Telephones Mobile Cellular|Internet Hosts|Internet Users
Rwanda|9,907,509|93,000,000|196,500,000|23,000|290,000|1,590|38,000
Chad|9,885,661|94,000,000|87,420,000|13,000|210,000|9|35,000
Belarus|9,724,723|29,330,000,000|31,050,000,000|3,284,300|4,098,000|33,641|3,394,000
Dominican Republic|9,365,818|15,020,000,000|13,960,000,000|894,500|3,623,000|91,895|938,300
Bolivia|9,119,152|4,472,000,000|4,168,000,000|646,300|2,421,000|20,085|480,000
Somalia|9,118,773|269,000,000|250,200,000|100,000|500,000|3|90,000
Sweden|9,031,088|150,500,000,000|137,800,000,000|6,447,000|8,436,000|2,958,000|6,800,000
Haiti|8,706,497|536,200,000|498,600,000|140,000|400,000|6|500,000
Burundi|8,390,505|137,000,000|157,400,000|27,700|153,000|160|25,000
Austria|8,199,783|64,900,000,000|65,200,000,000|3,705,000|8,160,000|2,062,000|4,650,000
Azerbaijan|8,120,247|20,350,000,000|20,570,000,000|1,091,000|2,242,000|880|678,800
Benin|8,078,314|82,000,000|576,300,000|76,300|386,700|867|425,000
Switzerland|7,554,661|61,970,000,000|56,930,000,000|5,123,000|6,847,000|2,443,000|5,098,000
Honduras|7,483,763|4,805,000,000|4,824,000,000|494,400|1,282,000|3,973|223,000
Bulgaria|7,322,858|45,700,000,000|37,400,000,000|2,483,000|6,245,000|184,975|2,200,000
Tajikistan|7,076,598|16,500,000,000|15,700,000,000|245,200|265,000|98|5,000
Hong Kong|6,980,412|38,450,000,000|44,550,000,000|3,795,000|8,693,000|800,834|4,879,000
El Salvador|6,948,073|5,293,000,000|5,204,000,000|971,500|2,412,000|4,682|637,100
Paraguay|6,669,086|51,770,000,000|3,133,000,000|320,300|1,887,000|13,178|200,000
Laos|6,521,998|3,936,000,000|3,260,000,000|90,067|520,546|1,108|25,000
Israel|6,426,679|46,070,000,000|41,380,000,000|2,936,000|7,757,000|1,252,000|3,700,000
Sierra Leone|6,144,562|244,000,000|226,900,000|24,000|113,200|20|10,000
Jordan|6,053,193|8,431,000,000|8,387,000,000|628,200|3,013,000|3,441|629,500
Libya|6,036,914|19,440,000,000|18,080,000,000|750,000|234,800|31|205,000
Papua New Guinea|5,795,887|3,358,000,000|3,123,000,000|62,000|26,000|1,573|170,000
Togo|5,701,579|286,200,000|929,200,000|58,600|443,600|520|300,000
Nicaragua|5,675,356|2,778,000,000|2,929,000,000|220,900|1,119,000|24,452|140,000
Denmark|5,468,120|43,350,000,000|36,410,000,000|3,350,000|5,469,000|2,416,000|3,763,000
Slovakia|5,447,502|31,290,000,000|28,570,000,000|1,197,000|4,540,000|210,758|2,500,000
Kyrgyzstan|5,284,149|14,060,000,000|6,777,000,000|438,200|541,700|18,928|280,000
Finland|5,238,460|81,600,000,000|80,790,000,000|2,120,000|5,231,000|1,634,000|3,286,000
Turkmenistan|5,097,028|10,790,000,000|9,030,000,000|495,000|52,000|585|36,000
Eritrea|4,906,585|276,100,000|256,700,000|37,700|58,000|1,088|70,000
Georgia|4,646,003|6,804,000,000|8,528,000,000|683,200|1,459,000|10,752|175,600
Norway|4,627,926|108,900,000,000|112,800,000,000|2,129,000|4,755,000|1,364,000|3,140,000
Singapore|4,553,009|32,640,000,000|30,350,000,000|1,848,000|4,385,000|898,762|2,422,000
Bosnia and Herzegovina|4,552,198|12,980,000,000|11,030,000,000|968,900|1,594,000|31,490|806,400
Croatia|4,493,312|12,950,000,000|16,530,000,000|1,890,000|2,984,000|18,825|1,451,000
United Arab Emirates|4,444,011|49,520,000,000|46,050,000,000|1,237,000|4,535,000|337,092|1,397,000
Central African Republic|4,369,038|109,000,000|101,400,000|10,000|60,000|10|9,000
Moldova|4,320,490|1,229,000,000|4,203,000,000|929,400|1,090,000|58,886|406,000
Costa Rica|4,133,884|8,400,000,000|7,574,000,000|1,388,000|1,101,000|12,751|1,000,000
New Zealand|4,115,771|41,100,000,000|38,220,000,000|1,800,000|3,530,000|1,050,000|3,200,000
Ireland|4,109,086|23,260,000,000|23,230,000,000|2,033,000|4,210,000|238,191|2,060,000
Puerto Rico|3,944,259|24,140,000,000|22,450,000,000|1,112,000|2,682,000|404|1,000,000
Lebanon|3,925,502|9,762,000,000|9,529,000,000|990,000|1,178,000|3,307|700,000
Congo, Republic of the|3,800,610|6,847,000,000|5,127,000,000|13,800|490,000|46|36,000
Albania|3,600,523|5,451,000,000|3,530,000,000|255,000|1,259,000|430|75,000
Lithuania|3,575,439|17,800,000,000|9,358,000,000|801,100|4,353,000|148,675|1,222,000
Uruguay|3,460,607|8,183,000,000|9,939,000,000|1,000,000|600,000|145,774|680,000
Mauritania|3,270,065|176,700,000|164,300,000|41,000|745,600|32|14,000
Panama|3,242,173|7,545,000,000|6,888,000,000|440,100|1,352,000|7,149|300,000
Oman|3,204,897|14,330,000,000|13,330,000,000|265,200|1,333,000|3,555|245,000
Liberia|3,195,931|325,000,000|302,300,000|6,900|160,000|8|1,000
Armenia|2,971,650|6,317,000,000|4,374,000,000|600,000|320,000|8,163|150,000
Mongolia|2,951,786|3,430,000,000|2,940,000,000|156,000|557,200|272|268,300
Jamaica|2,780,132|6,913,000,000|6,429,000,000|342,000|2,700,000|1,402|1,067,000
West Bank|2,535,927|||349,000|1,095,000||243,000
Kuwait|2,505,559|40,370,000,000|37,540,000,000|510,300|2,536,000|2,310|700,000
Bhutan|2,327,849|2,050,000,000|526,500,000|32,700|37,800|7,567|25,000
Latvia|2,259,810|4,550,000,000|6,329,000,000|731,000|1,872,000|65,858|1,030,000
Lesotho|2,125,262|250,000,000|244,500,000|48,000|245,100|168|43,000
Macedonia|2,055,915|5,935,000,000|8,929,000,000|533,200|1,261,000|3,716|392,671
Namibia|2,055,080|1,397,000,000|2,819,000,000|127,900|495,000|3,527|75,000
Slovenia|2,009,245|14,900,000,000|13,710,000,000|816,400|1,759,000|61,735|1,090,000
Botswana|1,815,508|823,000,000|2,464,000,000|132,000|823,100|5,499|60,000
Gambia, The|1,688,359|145,000,000|134,900,000|44,000|247,500|14|49,000
Gaza Strip|1,482,405|140,000|230,000|349,000|1,095,000||243,000
Guinea-Bissau|1,472,780|58,020,000|53,960,000|10,600|67,000|5|26,000
Gabon|1,454,867|1,543,000,000|1,435,000,000|39,100|649,800|322|67,000
Estonia|1,315,912|9,290,000,000|6,846,000,000|442,000|1,445,000|52,241|690,000
Mauritius|1,250,882|2,107,000,000|1,960,000,000|359,000|713,300|4,997|180,000
Swaziland|1,133,066|156,300,000|1,123,000,000|35,000|200,000|2,472|36,000
East Timor|1,084,971|||||68|1,000
Trinidad and Tobago|1,056,608|6,049,000,000|5,626,000,000|323,500|800,000|30,732|160,000
Fiji|918,675|817,000,000|759,800,000|102,000|142,200|8,987|61,000
Qatar|907,229|12,400,000,000|11,530,000,000|205,400|854,900|301|219,000
Cyprus|788,457|998,900,000|797,900,000|86,228|143,178|67,589|298,000
Guyana|769,095|818,800,000|761,500,000|110,100|281,400|1,046|160,000
Comoros|711,417|19,000,000|17,670,000|16,900|16,100|5|20,000
Bahrain|708,573|7,794,000,000|7,248,000,000|196,500|748,700|2,165|152,700
Montenegro|684,736|2,864,000,000|18,600,000|177,663|543,220||50,000
Solomon Islands|566,842|55,000,000|51,150,000|7,400|6,000|2,658|8,400
Equatorial Guinea|551,201|26,000,000|24,180,000|10,000|96,900|19|5,000
Djibouti|496,374|200,000,000|186,000,000|11,100|34,500|1,540|9,000
Luxembourg|480,222|3,203,000,000|6,140,000,000|244,500|720,000|88,661|315,000
Suriname|470,784|1,509,000,000|1,403,000,000|81,100|232,800|126|30,000
Macau|456,989|2,027,000,000|2,159,000,000|174,400|532,800|108|201,000
Cape Verde|423,613|44,000,000|40,920,000|71,400|81,700|234|25,000
Malta|401,880|2,291,000,000|2,130,000,000|202,100|324,000|14,025|127,200
Western Sahara|382,617|85,000,000|79,050,000||0||
Brunei|374,577|2,913,000,000|2,726,000,000|90,000|205,900|27|56,000
Maldives|369,031|149,900,000|139,400,000|32,181|271,053|1,357|19,000
Bahamas, The|305,655|1,795,000,000|1,669,000,000|139,900|186,000|591|93,000
Iceland|301,931|8,474,000,000|7,881,000,000|193,900|304,000|212,897|258,000
Belize|294,385|175,000,000|162,800,000|33,300|93,100|3,905|35,000
Barbados|280,946|896,000,000|833,300,000|134,900|206,200|282|160,000
French Polynesia|278,963|607,000,000|533,000,000|53,400|87,000|14,047|55,000
Netherlands Antilles|223,652|1,005,000,000|934,700,000|81,000|200,000|19,204|2,000
New Caledonia|221,943|1,675,000,000|1,558,000,000|55,300|134,300|13,962|76,000
Samoa|214,265|108,000,000|100,500,000|13,300|24,000|10,680|6,000
Vanuatu|211,971|43,000,000|39,990,000|6,800|12,700|413|7,500
Mayotte|208,783||139,200,000|10,000|48,100|1|
Sao Tome and Principe|199,579|18,000,000|16,740,000|7,000|12,000|735|20,000
Guam|173,456|1,764,000,000|1,641,000,000|84,134|98,000|76|79,000
Saint Lucia|170,649|290,000,000|269,700,000|51,100|93,000|21|55,000
Saint Vincent and the Grenadines|118,149|114,000,000|106,000,000|22,500|70,600|94|8,000
Tonga|116,921|41,000,000|38,130,000|11,200|16,400|18,775|3,000
Virgin Islands|108,448|980,000,000|911,400,000|70,900|64,200|3,855|30,000
Micronesia, Federated States of|107,862|192,000,000|178,600,000|12,400|14,100|550|14,000
Kiribati|107,817|13,000,000|12,090,000|4,500|600|42|2,000
Aruba|100,018|770,000,000|716,100,000|37,100|98,400|11,548|24,000
Jersey|91,321||630,100,000|73,900|83,900|1,240|27,000
Grenada|89,971|171,300,000|159,300,000|32,700|43,300|17|19,000
Northern Mariana Islands|84,546|||21,000|20,500|20|10,000
Seychelles|81,895|208,000,000|193,400,000|21,400|57,000|72|20,000
Isle of Man|75,831|||51,000||290|
Dominica|72,386|83,880,000|78,010,000|21,000|41,800|263|20,500
Andorra|71,822|||35,400|64,600|14,944|21,900
Antigua and Barbuda|69,481|105,000,000|97,650,000|38,000|54,000|2,231|20,000
Bermuda|66,163|682,500,000|616,700,000|56,000|49,000|8,114|39,000
Guernsey|65,573|||55,100|43,800|1,245|36,000
Marshall Islands|61,815|||5,510|1,198|6|2,000
American Samoa|57,663|128,000,000|119,000,000|15,000|2,377|1,456|
Greenland|56,344|295,000,000|274,400,000|25,300|32,200|8,851|38,000
Faroe Islands|47,511|292,600,000|272,100,000|23,800|42,500|6,915|33,000
Cayman Islands|46,600|400,000,000|372,000,000|38,000|17,000|8,611|9,909
Saint Kitts and Nevis|39,349|125,000,000|116,300,000|25,000|10,000|50|10,000
Liechtenstein|34,247|||19,900|11,400|4,697|20,000
Monaco|32,671|||33,700|19,300|12,720|16,000
San Marino|29,615|||20,600|16,800|3,140|14,300
Gibraltar|27,967|131,200,000|122,000,000|24,512|9,797|641|6,200
British Virgin Islands|23,552|42,000,000|39,060,000|11,700|8,000|525|4,000
Cook Islands|21,750|28,000,000|26,040,000|6,200|1,500|1,456|3,600
Turks and Caicos Islands|21,746|7,000,000|6,510,000|5,700|1,700|2,735|
Palau|20,842|||6,700|1,000|3|
Wallis and Futuna|16,309|||1,900|0|1|900
Anguilla|13,677|||6,200|1,800|403|3,000
Nauru|13,528|30,000,000|27,900,000|1,900|1,500|52|300
Tuvalu|11,992|||700|0||1,300
Montserrat|9,538|2,000,000|1,860,000||70|386|
Saint Helena|7,543|7,000,000|6,510,000|2,200||329|1,000
Saint Pierre and Miquelon|7,036|50,000,000|46,500,000|4,800||0|
Falkland Islands (Islas Malvinas)|3,105|16,000,000|14,880,000|2,400|0|103|1,900
Svalbard|2,214||||||
Norfolk Island|2,114|||2,532|0|100|700
Niue|1,492|3,000,000|2,790,000|1,100|400||900
Tokelau|1,449|||300|0|298|
Christmas Island|1,402|||||2,368|464
Holy See (Vatican City)|821|||5,120||45|93
Cocos (Keeling) Islands|596|||287|||
Pitcairn Islands|48|||1||8|
