Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
145 	 Niger 	          299,900 	 2005
146 	 Rwanda 	          290,000 	 2005
147 	 Guyana 	          281,400 	 2005
148 	 Maldives 	          271,053 	 2006
149 	 Tajikistan 	          265,000 	 2005
150 	 Nepal 	          248,800 	 2005
151 	 Gambia, The 	          247,500 	 2005
152 	 Lesotho 	          245,100 	 2005
153 	 Libya 	          234,800 	 2004
154 	 Suriname 	          232,800 	 2005
155 	 Chad 	          210,000 	 2005
156 	 Barbados 	          206,200 	 2005
157 	 Brunei 	          205,900 	 2004
158 	 Netherlands Antilles 	          200,000 	 2004
159 	 Swaziland 	          200,000 	 2005
160 	 Guinea 	          189,000 	 2005
161 	 Bahamas, The 	          186,000 	 2004
162 	 Burma 	          183,400 	 2005
163 	 Liberia 	          160,000 	 2005
164 	 Burundi 	          153,000 	 2005
165 	 Cyprus 	          143,178 	 
166 	 Fiji 	          142,200 	 2004
167 	 Cuba 	          134,500 	 2005
168 	 New Caledonia 	          134,300 	 2005
169 	 Sierra Leone 	          113,200 	 2003
170 	 Aruba 	           98,400 	 2004
171 	 Guam 	           98,000 	 2004
172 	 Equatorial Guinea 	           96,900 	 2005
173 	 Belize 	           93,100 	 2005
174 	 Saint Lucia 	           93,000 	 2004
175 	 French Polynesia 	           87,000 	 2005
176 	 Jersey 	           83,900 	 2004
177 	 Cape Verde 	           81,700 	 2005
178 	 Saint Vincent and the Grenadines 	           70,600 	 2005
179 	 Guinea-Bissau 	           67,000 	 2005
180 	 Andorra 	           64,600 	 2005
181 	 Virgin Islands 	           64,200 	 2004
182 	 Central African Republic 	           60,000 	 2004
183 	 Eritrea 	           58,000 	 2006
184 	 Seychelles 	           57,000 	 2005
185 	 Antigua and Barbuda 	           54,000 	 2004
186 	 Turkmenistan 	           52,000 	 2004
187 	 Bermuda 	           49,000 	 2004
188 	 Mayotte 	           48,100 	 2004
189 	 Guernsey 	           43,800 	 2004
190 	 Grenada 	           43,300 	 2004
191 	 Faroe Islands 	           42,500 	 2005
192 	 Dominica 	           41,800 	 2004
193 	 Bhutan 	           37,800 	 2005
194 	 Djibouti 	           34,500 	 2004
195 	 Greenland 	           32,200 	 2004
196 	 Papua New Guinea 	           26,000 	 2005
197 	 Samoa 	           24,000 	 2005
198 	 Northern Mariana Islands 	           20,500 	 2004
199 	 Monaco 	           19,300 	 2002
200 	 Cayman Islands 	           17,000 	 2002
201 	 San Marino 	           16,800 	 2002
202 	 Tonga 	           16,400 	 2004
203 	 Comoros 	           16,100 	 2005
204 	 Micronesia, Federated States of 	           14,100 	 2005
205 	 Vanuatu 	           12,700 	 2005
206 	 Sao Tome and Principe 	           12,000 	 2005
207 	 Liechtenstein 	           11,400 	 2002
208 	 Saint Kitts and Nevis 	           10,000 	 2004
209 	 Gibraltar 	            9,797 	 2002
210 	 British Virgin Islands 	            8,000 	 2002
211 	 Solomon Islands 	            6,000 	 2005
212 	 American Samoa 	            2,377 	 1999
213 	 Anguilla 	            1,800 	 2002
214 	 Turks and Caicos Islands 	            1,700 	 1999
215 	 Cook Islands 	            1,500 	 2002
216 	 Nauru 	            1,500 	 2002
217 	 Marshall Islands 	            1,198 	 2004
218 	 Palau 	            1,000 	 2002
219 	 Kiribati 	             600 	 2004
220 	 Niue 	             400 	 2002
221 	 Montserrat 	              70 	 1994
222 	 Falkland Islands (Islas Malvinas) 	               0 	 2001
223 	 Western Sahara 	               0 	 1999
224 	 Wallis and Futuna 	               0 	 1994
225 	 Norfolk Island 	               0 	 2002
226 	 Tuvalu 	               0 	 2004
227 	 Tokelau 	               0 	 2001

 This file was last updated on 17 April, 2007
