Rank 	 Country 	 Electricity - production(kWh) 	 Date of Information
128 	 Ethiopia 	      2,294,000,000 	 2004
129 	 Malta 	      2,291,000,000 	 2004
130 	 Angola 	      2,194,000,000 	 2004
131 	 Mauritius 	      2,107,000,000 	 2004
132 	 Bhutan 	      2,050,000,000 	 2004
133 	 Macau 	      2,027,000,000 	 2005
134 	 Uganda 	      1,894,000,000 	 2004
135 	 Bahamas, The 	      1,795,000,000 	 2004
136 	 Guam 	      1,764,000,000 	 2004
137 	 New Caledonia 	      1,675,000,000 	 2004
138 	 Gabon 	      1,543,000,000 	 2004
139 	 Suriname 	      1,509,000,000 	 2004
140 	 Senegal 	      1,453,000,000 	 2004
141 	 Namibia 	      1,397,000,000 	 2004
142 	 Malawi 	      1,293,000,000 	 2004
143 	 Moldova 	      1,229,000,000 	 2005
144 	 Netherlands Antilles 	      1,005,000,000 	 2004
145 	 Cyprus 	       998,900,000 	 2004
146 	 Madagascar 	       984,000,000 	 2004
147 	 Virgin Islands 	       980,000,000 	 2004
148 	 Barbados 	       896,000,000 	 2004
149 	 Guinea 	       840,000,000 	 2006
150 	 Botswana 	       823,000,000 	 2004
151 	 Guyana 	       818,800,000 	 2004
152 	 Fiji 	       817,000,000 	 2004
153 	 Aruba 	       770,000,000 	 2004
154 	 Afghanistan 	       734,300,000 	 2004
155 	 Bermuda 	       682,500,000 	 2005
156 	 French Polynesia 	       607,000,000 	 2005
157 	 Haiti 	       536,200,000 	 2004
158 	 Mali 	       410,000,000 	 2004
159 	 Cayman Islands 	       400,000,000 	 2004
160 	 Burkina Faso 	       400,000,000 	 2004
161 	 Congo, Democratic Republic of the 	       353,000,000 	 2004
162 	 Liberia 	       325,000,000 	 2004
163 	 Greenland 	       295,000,000 	 2004
164 	 Faroe Islands 	       292,600,000 	 2004
165 	 Saint Lucia 	       290,000,000 	 2004
166 	 Togo 	       286,200,000 	 2004
167 	 Eritrea 	       276,100,000 	 2004
168 	 Somalia 	       269,000,000 	 2004
169 	 Lesotho 	       250,000,000 	 2004
170 	 Sierra Leone 	       244,000,000 	 2004
171 	 Niger 	       232,000,000 	 2004
172 	 Seychelles 	       208,000,000 	 2004
173 	 Djibouti 	       200,000,000 	 2004
174 	 Micronesia, Federated States of 	       192,000,000 	 2002
175 	 Mauritania 	       176,700,000 	 2004
176 	 Belize 	       175,000,000 	 2004
177 	 Grenada 	       171,300,000 	 2004
178 	 Swaziland 	       156,300,000 	 2005
179 	 Maldives 	       149,900,000 	 2004
180 	 Gambia, The 	       145,000,000 	 2004
181 	 Burundi 	       137,000,000 	 2004
182 	 Gibraltar 	       131,200,000 	 2004
183 	 Cambodia 	       131,000,000 	 2004
184 	 American Samoa 	       128,000,000 	 2004
185 	 Saint Kitts and Nevis 	       125,000,000 	 2004
186 	 Saint Vincent and the Grenadines 	       114,000,000 	 2004
187 	 Central African Republic 	       109,000,000 	 2004
188 	 Samoa 	       108,000,000 	 2004
189 	 Antigua and Barbuda 	       105,000,000 	 2004
190 	 Chad 	        94,000,000 	 2004
191 	 Rwanda 	        93,000,000 	 2004
192 	 Western Sahara 	        85,000,000 	 2004
193 	 Dominica 	        83,880,000 	 2004
194 	 Benin 	        82,000,000 	 2004
195 	 Guinea-Bissau 	        58,020,000 	 2004
196 	 Solomon Islands 	        55,000,000 	 2004
197 	 Saint Pierre and Miquelon 	        50,000,000 	 2004
198 	 Cape Verde 	        44,000,000 	 2004
199 	 Vanuatu 	        43,000,000 	 2004
200 	 British Virgin Islands 	        42,000,000 	 2004
201 	 Tonga 	        41,000,000 	 2004
202 	 Nauru 	        30,000,000 	 2004
203 	 Cook Islands 	        28,000,000 	 2004
204 	 Equatorial Guinea 	        26,000,000 	 2004
205 	 Comoros 	        19,000,000 	 2004
206 	 Sao Tome and Principe 	        18,000,000 	 2004
207 	 Falkland Islands (Islas Malvinas) 	        16,000,000 	 2004
208 	 Kiribati 	        13,000,000 	 2004
209 	 Saint Helena 	         7,000,000 	 2004
210 	 Turks and Caicos Islands 	         7,000,000 	 2004
211 	 Niue 	         3,000,000 	 2004
212 	 Montserrat 	         2,000,000 	 2003
213 	 Gaza Strip 	          140,000 	 2005

 This file was last updated on 17 April, 2007
